title,page_content,article_published_date,author,url
"BIRA 91 launches second taproom in Delhi at Pacific Mall, Tagore Garden","Following the grand success of five outlets across the country, BIRA 91 has launched its second Taproom in Delhi, located at the bustling Pacific Mall in Tagore Garden, West Delhi. This new venue promises a multi-sensory Taproom experience focused on guest comfort and holistic engagement, making it a haven for beer enthusiasts that truly resonates with the brand’s vibrant characteristics. The Tagore Garden neighborhood in West Delhi, known for its dynamic young audience, is the perfect setting for the second Taproom in Delhi, following the success of the Taproom at the Commons in DLF Avenue Saket, South Delhi. Ankur Jain, founder and CEO, BIRA 91, said, “We are thrilled to announce the launch of our second BIRA 91 Taproom in Delhi. This new location represents our continued commitment to providing unique craft beer experiences. Our new Taproom in Delhi offers a diverse range of our finest brews and a vibrant atmosphere, perfect for beer enthusiasts. We are grateful for the incredible support and look forward to welcoming everyone to join us in celebrating this exciting milestone.” Building on the successful openings in Bengaluru, Gurgaon, Delhi, and Ludhiana, it offers the widest collection of craft beers on tap, accompanied by an elaborate food menu curated by celebrity chef Vicky Ratnani. Rahul Singh, SVP, pubs division of BIRA 91, said, “The beer revolution in India is currently at an exciting juncture, and opening our second outlet in the Delhi market only strengthens our belief in its potential. With the launch of this Taproom in Pacific Mall Tagore Garden, we aim to bring the joy of flavorful beers to the ever-experimenting neighborhood of West Delhi.”",2024-07-22,"Our Bureau, New Delhi",https://www.fnbnews.com/Top-News/bira-91-launches-second-taproom-in-delhi-at-pacific-mall-tagore-garden-79110
World Tequila Day gets a Bollywood twist with Hitchki & Patrón’s ‘Talli Tequila’,"Hitchki, the eclectic Bollywood-themed resto-bar, is set to elevate World Tequila Day with an exhilarating collaboration with Patrón to unveil the ‘Talli Tequila’ Jamboree. Starting July 24, tequila enthusiasts can dive into an array of exclusive, handcrafted cocktails that promise to enhance the drinking experience. This campaign will feature a tantalising lineup of tequila concoctions, including the refreshing ""Kokum Me Tequila Mila Ke,"" the invigorating ""3 Idiots,"" and the exquisite ""Lagdi Kamaal."" Guests can also enjoy bold creations like ""Main Jhukega Nahi,"" the celebratory ""Gud Newwz,"" the intriguing ""Uljha Jiya,"" the blissful ""Hoke Malang,"" and the audacious ""Badmaash Co."" Sonali Mullick, head of operations and mixologist at Bayroute and Hitchki, said, ""We are thrilled about our upcoming collaboration with Patron for the International Tequila Jamboree. This partnership allows us to showcase the exceptional quality and versatility of Patron tequila in a fun and engaging way, perfectly aligning with Hitchki's commitment to offering unique and immersive experiences for our guests. We've curated a lineup of tantalizing tequila concoctions that promise to elevate the drinking experience and create unforgettable moments for our guests.""",2024-07-22,"Our Bureau, Mumbai",https://www.fnbnews.com/Top-News/world-tequila-day-gets-a-bollywood-twist-with-hitchki--patrns-talli-tequila-79109
Delhi to Deccan: Olive Delhi experience pops up in Hyderabad,"Step into the realm of culinary soirée as Olive Bistro & Bar, Hyderabad brings an exclusive pop-up that promises to wow! Renowned chef, Dhruv Oberoi and award-winning mixologist, Harish Chhimwal are taking over the city’s iconic dining destination. The collaboration, beginning from July 22 to August 31, 2024, promises to be an unforgettable experience that marries innovation and comfort with Mediterranean marvels, and mixology magic.Prepare your palate for an unforgettable culinary voyage! From the Tangy Amla & Green Mango salad to Himalayan Cheese Soufflé, served with pickled Jamun, and the minced Sirohi Goat and Quail Egg Kufteh Meatballs, served with smoked Aubergine Labneh, Chef Dhruv's pop-up offers an array of progressive culinary delights. Taste the magic of Butternut Squash & Harissa, Tahini & Seabass, Cuttlefish & Pici, and more, as each dish is a celebration of local produce and culinary finesse.For dessert, guests can enjoy the Basque cheesecake baked with almond frangipane, served with jamun compote and almond turrón crunch and the dreamy Tiramisu picnic basket, a coffee and rum-soaked sponge and mascarpone trifle, served with picnic staples.But that's not all – the mixology brilliance of barkeep Harish Chhimwal takes this event to a whole new level. Dive into signature cocktails that reinvents cocktail craftsmanship. And don't miss the exhilarating Tripoli Punch, a shared adventure in a glass that fuses hibiscus tequila and lime juice among many other enticing creations like Athena, Hibiscus & Rosa Teq, Moroccan Sour, Coco Boulevardier, and more.",2024-07-22,"Our Bureau, New Delhi",https://www.fnbnews.com/Top-News/delhi-to-deccan-olive-delhi-experience-pops-up-in-hyderabad-79108
Sbooch brings Kombucha revolution,"Sbooch, a new-age kombucha brand, announced its official launch at an event with Suniel Shetty in Mumbai, entering the Indian beverage market, aiming to fill this exact gap. Founded by Niraj Manek and Kajall N Manek, it is set to disrupt the industry with its line of all-natural, preservative-free kombucha drinks.Manek said, ""We're not just launching a drink; we're introducing a new ‘Kulture’. Our kombucha is real in every sense—made with raw fruits, vegetables, and ingredients, no artificial additives, and less than 4 grammes of natural sugar that's produced during fermentation. We're excited to offer Indian consumers pure, unadulterated goodness with no marketing jargon or lies, with any grey filled with clutter.""Kombucha is one of the oldest drinks in the history of mankind, dating back up to 5000 years and originated in the eastern part of Japan. It is bringing this ancient fermented tea to modern India, with a twist that sets it apart from anything else on the market. The brand offers a range of flavours that take consumers on a journey across India, touching ‘Kulture’ with every sip.Chef Niyati, the culinary mastermind and founder at Ekaa, behind Sbooch, has crafted an array of unique flavours that capture the essence of the Indian palate and diverse culinary traditions, from North to South and East to West. Among them are Koshimbir from Maharashtra, Gor Keri from Gujarat, and Tulsi Lemon from Uttar Pradesh, among others.It has associated with Bollywood actor and fitness icon Suniel Shetty as a partner in this gut-health revolution. At 62, Shetty's endorsement speaks volumes about the brand's appeal to health-conscious individuals across all age groups, from toddlers to grandparents, and to coming generations.""As a health-conscious individual, I realized the need for a ‘Wholesome and Guilt-free drink that our Gut loves’, ‘for all age groups’, 'Made in India,' all-natural drink,"" in this current beverage landscape, Sbooch is a world of real flavours and ingredients. It's refreshing to find a homegrown brand that offers a delicious, all-natural beverage option,"" said Shetty.",2024-07-22,"Our Bureau, Mumbai",https://www.fnbnews.com/Top-News/sbooch-brings-kombucha-revolution-79107
Unveiling the art of Japanese cuisine at The Lodhi New Delhi,"The Lodhi New Delhi has announced a delectable Japanese Food Festival from the July 18 to 21, 2024. Perbacco, which is renowned for its Italian fine dining, will be the venue for this festival, showcasing the layered rich flavours of Japan under the expert guidance of chef Kuldeep and his team. The four-day festival will feature an intricate dinner menu with a Set Menu option, offering guests an unforgettable and vibrant dining experience.The Japanese Food Festival at promises to be a culinary odyssey that celebrates the artistry and tradition of Japanese cuisine. Whether you’re a seasoned connoisseur of Japanese flavours or a curious explorer, the curated menu is sure to delight and surprise your palate.",2024-07-22,"Our Bureau, New Delhi",https://www.fnbnews.com/Top-News/unveiling-the-art-of-japanese-cuisine-at-the-lodhi-new-delhi-79106
FSSAI to include Ultra Pasteurisation in general stds for milk & milk products,"The FSSAI has decided to include Ultra Pasteurisation in the general standards for milk and milk products through Food Safety and Standards (Food Products Standards and Food Additives) Amendment Regulations. The draft in this regard was released for the public comments, which says that Ultra Pasteurisation when used in association with milk, shall be taken to refer to the typical processing of heating milk to 125°C- 128°C for minimum 2 seconds in continuous flow and packaged under aseptic conditions to ensure preservation at room temperature for period of not less than 7 days from date of manufacture. Also, Ultra Pasteurisation of milk shall give negative Lactoperoxidase test and the pH of Ultra Pasteurised milk should not drop by more than 0.3 units at the end of 7 days of incubation at 55°C.Further for regulations relating to Standard for Flavoured Milk, FSSAI added 'other non-dairy ingredients like nuts (whole, fragmented or ground), cocoa solids, chocolate, coffee and tea or their extracts, fruits and vegetables and products thereof including juices, purees, pulps, preparations and preserves derived there from and extracts thereof, cereals, and cereal products and cereal based extracts, honey, spices and its extracts, condiments, herbs and their extracts, salt, and other natural flavouring foods and flavours'.",2024-07-22,"Ashwani Maindola, New Delhi",https://www.fnbnews.com/Top-News/fssai-to-include-ultra-pasteurisation-in-general-stds-for-milk--milk-products-79111
HRAWI hosts latest FoSTaC programme in Khandala,"The Hotel and Restaurant Association (Western India) – HRAWI, recently conducted an extensive Food Safety Supervisor Training in Advance Catering (FoSTaC) programme, in partnership with the Food Safety and Standards Authority of India (FSSAI). Held at The Dukes Retreat in Khandala on July 12, the event received the participation of 35 hospitality professionals who received training from Dr V Pasupathy of Parikshan. The inaugural ceremony featured Dr V Pasupathy of Parikshan, Kazi Abdul Wahab - director F&B; Amit Dalvi - HR manager and chef Nandan - cluster executive chef from The Dukes Retreat. Participants engaged in comprehensive training on critical aspects such as food handling, preparation, hygiene, sanitation and waste management. By focusing on these essential areas, the programme equipped attendees with practical skills to implement rigorous food safety protocols in their daily operations.",2024-07-22,"Our Bureau, Mumbai",https://www.fnbnews.com/Top-News/hrawi-hosts-latest-fostac-programme-in-khandala-79105
Bank of India celebrates Kisan Divas with special initiatives for farmers,"Farmers are the backbone of the economy, and their relentless efforts ensure food security for the nation. In view of the same Bank of India has announced the celebration of Kisan Divas, a day dedicated to honouring the invaluable contributions of the nation's farmers. As a tribute to the hardworking and resilient farmers of India, Bank of India has launched several schemes and initiatives aimed at supporting and empowering the agricultural community.Through Kisan Mah Utsav, Bank of India is raising awareness about its various financial assistance schemes which are contributing to the development of the country and its farming community.The standout offerings under Campaign Kisan Samridhi are the Star Farm Mechanisation Scheme and the Star Krishi Vahaan scheme, which provide financial assistance for the purchase of agricultural implements and vehicles for transporting farm produce. These schemes come with attractive concessional rates of interest starting at 8.90% and a 100% waiver of proposal processing charges.One of the above popular schemes is the Kisan Credit Card Scheme which is designed to provide farmers with timely and need-based credit support for their agricultural and allied activities, as well as non-farm activities. The card offers low interest rates, transparent terms with no hidden charges, and minimal documentation requirements, ensuring that farmers can easily access the financial resources they need. By streamlining the credit process and making funds more accessible, Bank of India aims to alleviate the financial burdens faced by farmers, enabling them to invest in better farming practices, purchase essential equipment, and ultimately, improve their productivity and income.On the occasion of Kisan Divas, Bank of India reaffirms its commitment to supporting farmers through various initiatives. Empowering farmers with financial resources, knowledge, infrastructure and technology is essential for sustainable agricultural growth.By facilitating these resources, Bank of India aims to boost productivity and improve livelihoods by continuing to provide essential financial tools and resources. The goal is to foster a more resilient and prosperous agricultural sector, ensuring that farmers can thrive and continue to be the cornerstone of the nation's growth.",2024-07-22,"Our Bureau, Mumbai",https://www.fnbnews.com/Top-News/bank-of-india-celebrates-kisan-divas-with-special-initiatives-for-farmers-79104
Haldiram's launch new Teej campaign ‘Teej ki Meethi Reet’,"Haldiram's, India’s leading traditional sweets and snacks major, recently unveiled its Teej campaign, ‘Teej ki Meethi Reet’ that aims to highlight the brand’s focus on celebrating the timeless traditions of Teej which underlines the onset of the monsoon season and the perineal bonds of love and togetherness.Haldiram's Teej campaign aligns seamlessly with the age-old cultural celebration with a selection of Ghewar in flavours to suit diverse palates. During the special occasion of celebrating Teej, Haldiram's has introduced a special range of Ghewar and Feni gifting hampers, including the Teej Ghewar Box, Teej Ki Mithaas Tray, and Teej Ki Mithaas Hamper. Each hamper contains a sumptuous assortment of Ghewar and Feni including Malai Ghewar, Kaju Cream Ghewar, Kesar Ghewar, Plain Ghewar, Rose Ghewar, White Feni, Kesar Feni, among others.Kailash Agarwal, president- retail QSR, Haldiram's, said, “We at Haldiram’s always celebrate India's rich cultural heritage through our range of signature delicacies. Our 'Teej ki Meethi Reet' campaign is a tribute to the joy and togetherness that the celebration of Teej represents. We are excited to bring a taste of tradition to our customers with our special Teej offerings.”",2024-07-22,"Our Bureau, New Delhi",https://www.fnbnews.com/Top-News/haldirams-launch-new-teej-campaign-teej-ki-meethi-reet-79103
Espire Hospitality Group appoints Shiv Mohan Marwaha as head of business development,"Espire Hospitality Group, a swiftly growing hospitality company that owns, manages and operates the luxury boutique resort brand ‘ZANA Luxury Resorts’ and the mid-segment brand ‘Country Inn Hotels & Resorts’ has announced the appointment of Shiv Mohan Marwaha as the head of business development. Marwaha is a well-known industry veteran, with over 17 years of experience and an outstanding network across the industry, having successfully led numerous business development initiatives across various prestigious organizations like Justa, Golden Tulip, Lemon Tree, Zone by the Park, Sarovar Hotels, Fern Hotels, Royal Orchid. His strategic vision, coupled with his extensive knowledge of market dynamics, makes him an invaluable addition to the leadership team.In his new role, Marwaha will be responsible for driving the growth and expansion of the group, identifying new business opportunities, and forging strategic partnerships. His leadership will be instrumental in enhancing the company’s market presence and achieving the ambitious growth targets.Akhil Arora, chief executive officer and MD, Espire Hospitality Group, said, “I am pleased to welcome Shiv to Espire Hospitality Group and lead business development at such a crucial expansion period of the company. Shiv has a wealth of experience within the sector and has been at the forefront of several important strategic initiatives in the region. I am confident that his knowledge, diverse experience, along with passion for hospitality will be invaluable, as we look to continue driving our growth.”",2024-07-22,"Our Bureau, Mumbai",https://www.fnbnews.com/Top-News/espire-hospitality-group-appoints-shiv-mohan-marwaha-as-head-of-business-development-79102
