question,answer,topic,url,crawling_date
Question: What is IEC?,IEC or Importer Exporter Code is a unique 10-digit alpha numeric code issued on the basis of PAN of an entity.,Frequently Asked QuestionsImport-Export Code Number,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,276",2024-07-22
Question: Why is IEC required?,"To import or export in India, IEC Code is mandatory. No person or entity shall make any Import or Export without IEC Code Number, unless specifically exempted.",Frequently Asked QuestionsImport-Export Code Number,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,276",2024-07-22
Question: Who can get IEC?,An individual or a company who wants to do international business can get an IEC. Individuals can use either the name of their company or their name directly to apply for IEC.,Frequently Asked QuestionsImport-Export Code Number,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,276",2024-07-22
Question: Is IEC required by Service Exporters?,IEC shall be not be necessary except when the service provider is taking benefits under the Foreign Trade Policy.,Frequently Asked QuestionsImport-Export Code Number,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,276",2024-07-22
Question: Who issues IEC?,"IEC is issued in electronic form (e-IEC) by Directorate General of Foreign Trade (DGFT) which is under Ministry of Commerce, Government of India.",Frequently Asked QuestionsImport-Export Code Number,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,276",2024-07-22
Question: What is the fee for IEC?,Application fee to get IEC is Rs. 500/-,Frequently Asked QuestionsImport-Export Code Number,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,276",2024-07-22
Question: What is the technical requirement for filing an IEC?,Valid Digital Signatures Token (Class II or III)Valid PANValid Mobile Number and Email ID.Valid Address Details of Branch OfficeValid Bank Account in the name of IEC HolderValid Aadhar Card matching the details with PAN Card.,Frequently Asked QuestionsImport-Export Code Number,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,276",2024-07-22
Question: DGFT Portal is compatible with which Browsers?,The new portal is compatible with the latest versions of Google Chrome / Mozilla Firefox / Microsoft Internet Explorer / Apple Safari.,Frequently Asked QuestionsImport-Export Code Number,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,276",2024-07-22
Question: Is there any Application form for applying IEC?,Yes. Application has to filed online (ANF 2A format) for grant of IEC at DGFT portal.,Frequently Asked QuestionsImport-Export Code Number,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,276",2024-07-22
Question: Where I can find application for applying IEC?,"Visit the DGFT website and login.After Linking to IEC or Application of IEC proceed with Register Digital signature details through navigating to My Dashboard >> View and Register Digital Signature TokenRead the information and ensure all pre-requisites for Digital signature are met and then click on Register New DSC.Select and proceed with your digital signature detailsOnce Pre-requisites for Digital signature is done then user will be able to see list of ePass token on click of Provider List, Select the e-Pass token from the list.Select Certificate for signing from Certificate list, Individual based DSC is only allowed for proprietorship type firms. Refer to the validations mentioned above.Enter your DSC token PIN in the enter Password field.After successful signing, success message is displayed.Once user successfully register the Digital signature details then you can view the digital signature details under current digital signature details, and you can perform any action on IEC with the active Digital Signature.",Frequently Asked QuestionsImport-Export Code Number,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,276",2024-07-22
Question: What is the validity of IEC?,"An IEC allotted to an applicant shall have permanent validity but it is mandatory to update the IEC annually so that the IEC is not deactivated. If the IEC is updated between April-June period each year, no fee shall be charged for updation of IEC.",Frequently Asked QuestionsImport-Export Code Number,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,276",2024-07-22
Question: What happens if the IEC is not annually updated?,"In case of non-updation of IEC within the prescribed time, it will be de-activated. An IEC so de-activated may be activated, on its successful updation. This would however be without prejudice to any other action taken for violation of any other provisions of the FTP.",Frequently Asked QuestionsImport-Export Code Number,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,276",2024-07-22
Question: How will I get to know that whether my payment process is successful or Unsuccessful?,After Successful payment you will get the Acknowledgement stating the Successful Submission of application for IEC with File No.The Application Status can be tracked using ‘Track Status’ and Receipt could again be printed.,Frequently Asked QuestionsImport-Export Code Number,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,276",2024-07-22
Question: How I can take the print of my IEC Certificate?,Navigate to https://dgft.gov.inEnter User Name and passwordClick Services → IEC → Manage IECVerify Your detailsClick Print IECPDF displayed to print. Important Links ANF 2Ahttps://content.dgft.gov.in/Website/ANF-2A_0.pdf Portal Registration https://content.dgft.gov.in/Website/DGFT%20-%20Website%20User%20Registration.pdf Process for annual updation of IEC (Video Link) https://www.youtube.com/watch?v=B5zrx5k8QC4,Frequently Asked QuestionsImport-Export Code Number,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,276",2024-07-22
Question: What are the mandatory documents for export & import?,Mandatory documents required for export and import are:Bill of Lading/Airway BillCommercial Invoice cum Packing ListShipping Bill/ Bill of Entry/ Bill of Export,Frequently Asked QuestionsGeneral Provisions Regarding Imports And Exports,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,287",2024-07-22
Question: Whether any other documents in addition to the mandatory documents are required to be furnished?,"For specific items of export and import NOC/License or any other documents like Phytosanitary Certificate, Health Certificate, Drug License, etc. as specified document for a specific product to be furnished to ensure legal compliance.",Frequently Asked QuestionsGeneral Provisions Regarding Imports And Exports,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,287",2024-07-22
Question: Can the restricted goods be exported/imported?,Such goods maybe exported/ imported only in accordance with an authorization or permission order.,Frequently Asked QuestionsGeneral Provisions Regarding Imports And Exports,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,287",2024-07-22
Question: What is DEL (Denied Entry List)?,A penal action for violating any condition of authorization or failing payment of demand notice within specified time. This action blocks the facilities available under the Policy till compliance by the exporter.,Frequently Asked QuestionsGeneral Provisions Regarding Imports And Exports,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,287",2024-07-22
Question: Whether export and import of samples allowed and the value of the samples?,"Export of bonafide trade and technical samples of freely exportable item are allowed without any limit. Similarly, Duty free import of samples upto Rs. 3,00,000 for all exporters are allowed as per terms and conditions of Customs Notification.",Frequently Asked QuestionsGeneral Provisions Regarding Imports And Exports,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,287",2024-07-22
Question: Whether export/import of goods is permissible through Courier services/Post?,"Freely exportable goods through a registered courier service or post are permitted as per Notification(s) issued by DoR. However, the value limit for the same is INR 5,00,000 per consignment. Similarly, freely importable goods through a registered courier service or post are permitted as per Notification(s) issued under the Customs Act, 1962.",Frequently Asked QuestionsGeneral Provisions Regarding Imports And Exports,"https://www.indiantradeportal.in/vs.jsp?lang=0&id=0,55,287",2024-07-22
