description,url,article_upload_date
India Extends Inspection Certificates For Rice Exports With Europe.,https://www.newsx.com/auto/india-extends-inspection-certificates-for-rice-exports-with-europe/,2024-07-19
"India pitches for significant duty reduction on agri products, chemicals, and petrochemicals with South Korea.",https://www.livemint.com/news/india/india-pitches-for-significant-duty-reduction-on-agri-products-chemicals-and-petrochemicals-with-south-korea-11721293429736.html,2024-07-19
India and the EU to hold the next round of talks for a free trade agreement in September.,https://www.telegraphindia.com/business/india-and-the-eu-to-hold-the-next-round-of-talks-for-a-free-trade-agreement-in-september/cid/2034439,2024-07-19
"Piyush Goyal holds meetings to increase bilateral trade with UK, Germany and Italy",https://economictimes.indiatimes.com/news/economy/foreign-trade/piyush-goyal-holds-meetings-to-increase-bilateral-trade-with-uk-germany-and-italy/articleshow/111798420.cms,2024-07-19
"Piyush Goyal for collaboration in smooth supply of critical minerals, semicon, pharma, green energy",https://economictimes.indiatimes.com/news/economy/foreign-trade/piyush-goyal-for-collaboration-in-smooth-supply-of-critical-minerals-semicon-pharma-green-energy/articleshow/111814237.cms,2024-07-19
"India plans to ease rice export curbs as stocks surge to record, sources say",https://economictimes.indiatimes.com/news/economy/foreign-trade/india-plans-to-ease-rice-export-curbs-as-stocks-surge-to-record-sources-say/articleshow/111829586.cms,2024-07-19
Malaysia requests India to ease export curbs on some farm goods,https://economictimes.indiatimes.com/news/economy/foreign-trade/malaysia-requests-india-to-ease-export-curbs-on-some-farm-goods/articleshow/111830775.cms,2024-07-19
"Increasing exports, trade in local currency, FTA to boost India-Russia commerce: GTRI report",https://economictimes.indiatimes.com/news/economy/foreign-trade/increasing-exports-trade-in-local-currency-fta-to-boost-india-russia-commerce-gtri-report/articleshow/111831055.cms,2024-07-19
"FSSAI approves proposal to display nutritional information labelling of total sugar, salt and saturated fat",https://www.fnbnews.com/Top-News/fssai-approves-proposal-to-display-nutritional-information-labelling-of-total-sugar-salt-and-saturated-fat-77989,2024-07-09
"Nigerian Govt suspends tax, import duties for maize, wheat, brown rice",https://www.msn.com/en-xl/news/other/breaking-nigerian-govt-suspends-tax-import-duties-for-maize-wheat-brown-rice/ar-BB1pCtHp,2024-07-09
Bangladesh delegation visits Vizag port to explore trade opportunities with India,https://www.thehindu.com/news/cities/Visakhapatnam/bangladesh-delegation-visits-vizag-port-to-explore-trade-opportunities-with-india/article68381924.ece,2024-07-09
Indian traders have a golden opportunity to increase meat export to Egypt: Egyptian Ambassador,https://agriculturepost.com/agribusiness/indian-traders-have-a-golden-opportunity-to-increase-meat-export-to-egypt-egyptian-ambassador/,2024-07-09
